#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
2 other disciples	2	Male	Adult		Not Peter (Simon), Thomas, Nathaniel, James, or John	JHN 21:3 & JHN 21:5
250 Israelite leaders	250	Male	Adult			NUM 16:3
a Jew	1	Male	Adult			JHN 3:26
Aaron	1	Male	Adult			EXO 5:1 <-(18 more)-> NUM 16:22
Abednego	1	Male	Adult		original Hebrew name: Azariah	DAN 3:16 <-(1 more)-> DAN 3:18
Abigail	1	Female	Adult			1SA 25:19 <-(8 more)-> 1SA 25:41
Abijah, king of Judah	1	Male	Adult			2CH 13:4 <-(7 more)-> 2CH 13:12
Abimelech 1, king of the Philistines (in Gerar)	1	Male	Adult			GEN 20:4 <-(8 more)-> GEN 21:29	Abimelech 1st
Abimelech 2, king of the Philistines (in Gerar)	1	Male	Adult			GEN 26:9 <-(4 more)-> GEN 26:29	Abimelech 2nd
Abimelech, son of Gideon (Jerubbaal)	1	Male	Adult			JDG 9:2 <-(1 more)-> JDG 9:54	Abimelech 3rd
Abiram	1	Male	Adult		son of Eliab (Reubenite)	NUM 16:3 <-(2 more)-> NUM 16:14
Abishai, Joab's brother	1	Male	Adult			1SA 26:6 <-(2 more)-> 2SA 19:21
Abner, commander of Saul's army	1	Male	Adult			1SA 17:55 <-(13 more)-> 2SA 3:21
Abraham (Abram)	1	Male	Adult			GEN 12:11 <-(48 more)-> GEN 24:8
Abraham's chief servant	1	Male	Adult			GEN 24:5 <-(25 more)-> GEN 24:65	Servant of Abraham
Absalom's men	-1	Male	Adult			2SA 17:20	Servant of Absalom
Absalom's secret messengers	-1	Male	Adult			2SA 15:10
Absalom, son of David	1	Male	Adult			2SA 13:20 <-(16 more)-> 2SA 18:18	Absolom
Achan	1	Male	Adult			JOS 7:20 & JOS 7:21
Achish, king of Gath	1	Male	Adult			1SA 21:14 <-(9 more)-> 1SA 29:10
Achsah, Caleb's daughter	1	Female	Adult			JOS 15:18 <-(2 more)-> JDG 1:15	Acsah (female)
Adam	1	Male	Adult			GEN 2:23 <-(1 more)-> GEN 3:12
Adoni-Bezek	1	Male	Adult			JDG 1:7
Adoni-Zedek, king of Jerusalem	1	Male	Adult			JOS 10:4
Adonijah, son of David	1	Male	Adult			1KI 1:5 <-(5 more)-> 1KI 2:17
advisers to king	-1	Male	Adult			DAN 3:24	Chaldean
Agabus the prophet	1	Male	Adult			ACT 11:28 & ACT 21:11
Agag, king of the Amalekites	1	Male	Adult			1SA 15:32
Agur	1	Male	Adult			PRO 30:1 <-(31 more)-> PRO 30:33
Ahab, king of Israel	1	Male	Adult			1KI 18:5 <-(36 more)-> 2CH 18:33
Ahaz, king of Judah	1	Male	Adult			2KI 16:7 <-(2 more)-> ISA 7:12
Ahaziah, king of Israel	1	Male	Adult			1KI 22:49 <-(3 more)-> 2KI 1:8
Ahijah the priest	1	Male	Adult			1SA 14:36	Priest
Ahijah the prophet	1	Male	Adult			1KI 11:31 <-(18 more)-> 1KI 14:16
Ahimaaz (messenger)	1	Male	Adult			2SA 17:21 <-(4 more)-> 2SA 18:29
Ahimelech the priest (son of Ahitub)	1	Male	Adult			1SA 21:1 <-(4 more)-> 1SA 22:15	Ahimelech
Ahithophel	1	Male	Adult			2SA 16:21 <-(2 more)-> 2SA 17:3
all in Nazareth synagogue	-1		Adult			LUK 4:22
all in temple	-1		Adult			PSA 29:9
all seeking God	-1		Adult			PSA 40:16
all the earth	-1					PSA 96:10
all the elders	-1	Male	Elder		elders of the church in Jerusalem	MRK 15:1 <-(5 more)-> ACT 21:25
all who heard (in synagogues)	-1		Adult			ACT 9:21
